SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
application.js,,0.3004454293866245,DynaMOSA,,true,0.6162790697674418,33,52,0.6346153846153846,136,187,0.7272727272727273,18,26,0.6923076923076923,,,,3.758000135421753,60.080000162124634,63.83800029754639,49,1529,1
request.js,,0.3004454293866245,DynaMOSA,,true,0.42028985507246375,11,44,0.25,60,109,0.5504587155963303,7,20,0.35,,,,1.1640000343322754,60.03700017929077,61.20100021362305,60,1888,1
response.js,,0.3004454293866245,DynaMOSA,,true,0.19383259911894274,24,174,0.13793103448275862,101,363,0.27823691460055094,11,41,0.2682926829268293,,,,9.278000116348267,60.08500003814697,69.36300015449524,8,261,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.045454545454545456,2,34,0.058823529411764705,3,76,0.039473684210526314,1,14,0.07142857142857142,,,,0.5570001602172852,60.01200008392334,60.569000244140625,115,3591,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.10606060606060606,4,34,0.11764705882352941,5,76,0.06578947368421052,3,14,0.21428571428571427,,,,0.5989999771118164,60.019999980926514,60.61899995803833,91,2834,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.19696969696969696,6,34,0.17647058823529413,9,76,0.11842105263157894,4,14,0.2857142857142857,,,,0.5290000438690186,60.11900019645691,60.64800024032593,105,3276,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.24242424242424243,8,34,0.23529411764705882,13,76,0.17105263157894737,5,14,0.35714285714285715,,,,0.5350000858306885,60.00500011444092,60.540000200271606,101,3142,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.2878787878787879,10,34,0.29411764705882354,17,76,0.2236842105263158,6,14,0.42857142857142855,,,,0.5759999752044678,60.00500011444092,60.581000089645386,97,3010,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.45454545454545453,18,34,0.5294117647058824,25,76,0.32894736842105265,7,14,0.5,,,,0.4700000286102295,60.013999938964844,60.48399996757507,107,3318,1
utils.js,,0.3004454293866245,DynaMOSA,,true,0.5,20,34,0.5882352941176471,28,76,0.3684210526315789,8,14,0.5714285714285714,,,,0.5880000591278076,60.01600003242493,60.604000091552734,88,2756,1
view.js,,0.3004454293866245,DynaMOSA,,true,0.08695652173913043,1,16,0.0625,7,56,0.125,1,5,0.2,,,,0.685999870300293,60.00699996948242,60.692999839782715,83,2600,1
init.js,,0.3004454293866245,DynaMOSA,,true,0.5,0,2,0,1,11,0.09090909090909091,1,2,0.5,,,,0.5920000076293945,60.06500005722046,60.65700006484985,96,2998,1
query.js,,0.3004454293866245,DynaMOSA,,true,0.625,4,6,0.6666666666666666,8,16,0.5,1,2,0.5,,,,1.2660000324249268,60.1010000705719,61.367000102996826,93,2894,1
