TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,application.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
3.8,application.js,21,52,40.38,16,31,61.54,0,0,21,NaN,155,131,58.49
5.7,application.js,28,52,53.85,18,36,69.23,0,0,28,NaN,177,116,66.79
7.2,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
8.5,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
8.6,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
9.9,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
11.2,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
12.5,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
13.8,application.js,31,52,59.62,19,38,73.08,0,0,31,NaN,187,109,70.57
15.1,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
16.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
17.5,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
18.7,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
19.9,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
21.1,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
22.3,application.js,33,52,63.46,19,40,73.08,0,0,33,NaN,192,106,72.45
23.5,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.45
23.6,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
24.7,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
24.8,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
25.9,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
27.1,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
28.2,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
29.3,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
29.4,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
30.5,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
31.6,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
31.7,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
32.8,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
34,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
35.1,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
36.3,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
37.4,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
38.5,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
38.6,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
39.7,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
40.8,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
40.9,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
42,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
43.2,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
44.3,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
44.4,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
45.5,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
46.6,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
47.8,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
48.9,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
49,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
50.1,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
51.2,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
52.4,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
53.6,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
54.8,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
55.9,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
57.4,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
58.5,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
59.6,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
59.7,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
60.8,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
61.9,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
62,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
63.1,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
63.9,application.js,34,52,65.38,19,41,73.08,0,0,34,NaN,193,106,72.83
0,request.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
2.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
2.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
3.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
4.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
5.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
6.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
7.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
8.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
9.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
10.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
11.8,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
11.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
12.8,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
13.7,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
13.8,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
14.7,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
15.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
16.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
17.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
18.5,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
19.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
20.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
21.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
22.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
22.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
23.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
24.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
25,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
25.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
26,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
26.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
27.8,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
27.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
28.8,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
29.7,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
30.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
30.7,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
31.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
32.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
33.5,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
34.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
35.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
36.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
36.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
37.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
38.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
39.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
39.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
40.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
41,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
41.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
42,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
42.9,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
43.8,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
44.7,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
45.7,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
46.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
47.6,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
48.5,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
49.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
49.5,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
50.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
51.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
52.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
53.4,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
54.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
55.3,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
56.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
57.1,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
57.2,request.js,11,44,25,6,25,30,0,0,11,NaN,75,109,43.35
