TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,articulationPoints.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.9,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
2.7,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3,articulationPoints.js,0,12,0,1,6,14.29,0,0,0,NaN,5,42,10.64
3.4,articulationPoints.js,1,12,8.33,3,5,42.86,0,0,1,NaN,16,32,34.04
0,bellmanFord.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
0.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
0.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
1.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
1.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
2.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
2.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
3.2,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
3.6,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
4.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
4.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
5.3,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
5.8,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
6.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
6.9,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
7.4,bellmanFord.js,1,6,16.67,1,4,25,0,0,1,NaN,8,21,28.57
8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
8.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
9.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
10,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
10.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
11,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
11.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
12,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
12.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
12.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
13.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
14,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
14.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
14.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
15.3,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
15.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
16.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
16.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
17.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
17.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
18.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
18.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
19.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
20,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
20.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
21,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
21.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
22.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
22.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
23,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
23.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
24,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
24.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
25,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
25.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
25.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
26.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
26.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
27.8,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
28.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
28.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
29.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
29.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
30.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
30.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
31.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
31.6,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
32.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
32.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
33.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
33.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
34.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
34.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
35.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
35.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
36.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
36.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
37.2,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
37.7,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
38.1,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
38.5,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
38.9,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
39.4,bellmanFord.js,2,6,33.33,2,4,50,0,0,2,NaN,13,17,46.43
