SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
articulationPoints.js,,0.8383993713156285,DynaMOSA,,true,1,1,12,0.08333333333333333,12,28,0.42857142857142855,3,7,0.42857142857142855,,,,1.6989998817443848,0.43599987030029297,2.1349997520446777,1,61,1
bellmanFord.js,,0.8383993713156285,DynaMOSA,,true,0.8,3,6,0.5,12,18,0.6666666666666666,3,4,0.75,,,,0.45399999618530273,60.0220000743866,60.4760000705719,129,4011,1
breadthFirstSearch.js,,0.8383993713156285,DynaMOSA,,true,0.875,3,8,0.375,21,25,0.84,6,6,1,,,,0.434999942779541,60.014999866485596,60.44999980926514,150,4657,1
graphBridges.js,,0.8383993713156285,DynaMOSA,,true,1,0,8,0,10,26,0.38461538461538464,3,7,0.42857142857142855,,,,0.38499999046325684,8.213000059127808,8.598000049591064,20,650,1
depthFirstSearch.js,,0.8383993713156285,DynaMOSA,,true,0.7142857142857143,0,6,0,13,20,0.65,5,7,0.7142857142857143,,,,0.2780001163482666,60.00499987602234,60.282999992370605,185,5759,1
detectDirectedCycle.js,,0.8383993713156285,DynaMOSA,,true,1,3,8,0.375,17,30,0.5666666666666667,3,5,0.6,,,,0.3840000629425049,2.123000144958496,2.507000207901001,5,185,1
detectUndirectedCycle.js,,0.8383993713156285,DynaMOSA,,true,1,0,8,0,5,23,0.21739130434782608,1,3,0.3333333333333333,,,,0.3819999694824219,0,0.3819999694824219,0,30,1
detectUndirectedCycleUsingDisjointSet.js,,0.8383993713156285,DynaMOSA,,true,0.8333333333333334,0,2,0,7,9,0.7777777777777778,2,4,0.5,,,,0.37400007247924805,60.01699995994568,60.39100003242493,114,3541,1
dijkstra.js,,0.8383993713156285,DynaMOSA,,true,0.38461538461538464,2,10,0.2,12,25,0.48,1,3,0.3333333333333333,,,,0.5420000553131104,60.00600004196167,60.54800009727478,97,3035,1
eulerianPath.js,,0.8383993713156285,DynaMOSA,,true,0.2222222222222222,3,14,0.21428571428571427,15,36,0.4166666666666667,1,4,0.25,,,,0.5689997673034668,60.003000020980835,60.5719997882843,104,3230,1
floydWarshall.js,,0.8383993713156285,DynaMOSA,,true,0.7857142857142857,4,6,0.6666666666666666,18,22,0.8181818181818182,8,8,1,,,,0.501000165939331,60.01600003242493,60.51700019836426,105,3282,1
hamiltonianCycle.js,,0.8383993713156285,DynaMOSA,,true,0.1875,2,10,0.2,17,31,0.5483870967741935,4,6,0.6666666666666666,,,,0.5390000343322754,60.12100005149841,60.66000008583069,94,2935,1
kruskal.js,,0.8383993713156285,DynaMOSA,,true,0.5555555555555556,3,10,0.3,10,18,0.5555555555555556,1,4,0.25,,,,1.4170000553131104,60.01699995994568,61.43400001525879,99,3072,1
prim.js,,0.8383993713156285,DynaMOSA,,true,0.26666666666666666,2,12,0.16666666666666666,8,23,0.34782608695652173,1,3,0.3333333333333333,,,,0.5590000152587891,60.01699995994568,60.57599997520447,90,2802,1
stronglyConnectedComponents.js,,0.8383993713156285,DynaMOSA,,true,0.7,6,8,0.75,32,34,0.9411764705882353,8,10,0.8,,,,0.6510000228881836,60.01799988746643,60.668999910354614,80,2503,1
topologicalSort.js,,0.8383993713156285,DynaMOSA,,true,0.5,1,2,0.5,7,15,0.4666666666666667,1,5,0.2,,,,0.5970001220703125,60.01200008392334,60.60900020599365,76,2378,1
bfTravellingSalesman.js,,0.8383993713156285,DynaMOSA,,true,0.4375,3,12,0.25,22,40,0.55,4,6,0.6666666666666666,,,,0.6830000877380371,60.00499987602234,60.687999963760376,78,2417,1
