TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Knapsack.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
1.9,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
2.4,Knapsack.js,14,40,35,13,15,92.86,0,0,14,NaN,67,67,55.83
2.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,55.83
2.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
3.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
3.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
3.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
4.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
4.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
4.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
5.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
5.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
5.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
6.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
6.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
6.9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
7.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
7.6,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
8.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
8.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
9,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
9.3,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
9.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
9.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
10,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
10.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
10.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
11,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
11.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
11.7,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
12.1,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
12.4,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
12.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
13.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
13.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
13.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
14.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
14.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
14.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
15.2,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
15.5,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
15.8,Knapsack.js,20,40,50,13,21,92.86,0,0,20,NaN,80,60,66.67
