TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,Matrix.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
2.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
3.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
3.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
4.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
5.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
6.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
7.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
8.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
9.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
10.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
11.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
12.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
13.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
14.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
15.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
16.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
17.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
18.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
19.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
20.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
21.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
22.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
23.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
24.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
25.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
26.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
27.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
28.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
29.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
30.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
31.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
32.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
33.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
34.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
35.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
36.8,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.2,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
37.6,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.4,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
38.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.3,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
39.7,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.1,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.5,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
40.9,Matrix.js,2,38,5.26,1,25,4.17,0,0,2,NaN,23,148,13.61
