SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
Matrix.js,,0.8585335311374748,DynaMOSA,,true,0.25806451612903225,2,38,0.05263157894736842,20,107,0.18691588785046728,1,24,0.041666666666666664,,,,1.9509999752044678,60.01900005340576,61.97000002861023,156,4856,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,0.43548387096774194,7,38,0.18421052631578946,30,107,0.2803738317757009,3,24,0.125,,,,0.2799999713897705,60.00999999046326,60.28999996185303,204,6346,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,0.5483870967741935,11,38,0.2894736842105263,39,107,0.3644859813084112,6,24,0.25,,,,0.2949998378753662,60.00699996948242,60.30199980735779,196,6096,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,0.6935483870967742,11,38,0.2894736842105263,40,107,0.37383177570093457,8,24,0.3333333333333333,,,,0.29200005531311035,60.31100010871887,60.60300016403198,180,5590,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,0.8870967741935484,14,38,0.3684210526315789,50,107,0.4672897196261682,10,24,0.4166666666666667,,,,0.45599985122680664,60.01600003242493,60.47199988365173,137,4249,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.2580645161290323,18,38,0.47368421052631576,57,107,0.5327102803738317,11,24,0.4583333333333333,,,,0.437999963760376,60.01199984550476,60.44999980926514,138,4281,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.435483870967742,24,38,0.631578947368421,65,107,0.6074766355140186,13,24,0.5416666666666666,,,,3.5989999771118164,60.08899998664856,63.687999963760376,20,630,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.4838709677419355,26,38,0.6842105263157895,69,107,0.6448598130841121,14,24,0.5833333333333334,,,,0.5859999656677246,60.01699995994568,60.6029999256134,121,3766,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.532258064516129,28,38,0.7368421052631579,73,107,0.6822429906542056,15,24,0.625,,,,0.44499993324279785,60.098000049591064,60.54299998283386,117,3646,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.6129032258064515,28,38,0.7368421052631579,74,107,0.6915887850467289,16,24,0.6666666666666666,,,,0.4930000305175781,60.019999980926514,60.51300001144409,112,3486,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.6935483870967742,28,38,0.7368421052631579,75,107,0.7009345794392523,17,24,0.7083333333333334,,,,0.5540001392364502,60.00999999046326,60.56400012969971,105,3261,1
Matrix.js,,0.8585335311374748,DynaMOSA,,true,1.8870967741935485,28,38,0.7368421052631579,76,107,0.7102803738317757,18,24,0.75,,,,0.5289998054504395,60.014999866485596,60.543999671936035,105,3274,1
