TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.3,RedBlackTree.js,4,34,11.76,12,5,92.31,0,0,4,NaN,44,94,32.84
3,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,52,88,38.81
3.5,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,52,88,38.81
3.6,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,52,88,38.81
4.1,RedBlackTree.js,7,34,20.59,13,7,100,0,0,7,NaN,55,86,41.04
4.5,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
4.9,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
5.4,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
5.8,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
6.3,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
6.8,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
7.2,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
7.6,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
8.1,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
8.6,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
9,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
9.4,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
9.9,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
10.3,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
10.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
11.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
11.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
