TIME,SUBJECT,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_EXCEPTIONS,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,COVERED_OBJECTIVES,TOTAL_OBJECTIVES,COVERAGE
0,RedBlackTree.js,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN
2.4,RedBlackTree.js,6,34,17.65,12,7,92.31,0,0,6,NaN,52,88,38.81
2.9,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
3.4,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
3.9,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
4.4,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
4.9,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
5.4,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
5.8,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
6.3,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
6.8,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
7.2,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
7.6,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
8,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
8.5,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
9,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
9.4,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
9.8,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
10.4,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
10.8,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
11.2,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
11.7,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
12.1,RedBlackTree.js,6,34,17.65,13,6,100,0,0,6,NaN,54,86,40.3
12.5,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
12.9,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
13.3,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
13.7,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
14.1,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
14.5,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
14.9,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
15.3,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
15.7,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
16.1,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
16.2,RedBlackTree.js,8,34,23.53,13,8,100,0,0,8,NaN,64,78,47.76
16.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
17,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
17.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
17.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
18.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
18.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
19.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
19.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
19.9,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
20.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
21.1,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
21.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
21.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
22.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
22.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
23,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
23.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
23.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
24.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
24.6,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
25,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
25.4,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
25.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
26.2,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
26.5,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
27,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
27.3,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
27.7,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
27.8,RedBlackTree.js,10,34,29.41,13,10,100,0,0,10,NaN,69,75,51.49
