SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
add-subtract.js,,0.8935972852813064,DynaMOSA,,true,0.8823529411764706,10,14,0.7142857142857143,16,25,0.64,2,3,0.6666666666666666,,,,2.5230000019073486,60.01900005340576,62.54200005531311,146,4534,1
calendar.js,,0.8935972852813064,DynaMOSA,,true,0.2916666666666667,7,22,0.3181818181818182,2,17,0.11764705882352941,1,2,0.5,,,,0.3380000591278076,60.01600003242493,60.354000091552734,202,6271,1
calendar.js,,0.8935972852813064,DynaMOSA,,true,0.375,8,22,0.36363636363636365,4,17,0.23529411764705882,2,2,1,,,,0.3209998607635498,60.01400017738342,60.33500003814697,179,5567,1
compare.js,,0.8935972852813064,DynaMOSA,,true,0.08823529411764706,1,28,0.03571428571428571,1,30,0.03333333333333333,1,6,0.16666666666666666,,,,0.4289999008178711,60.00200009346008,60.430999994277954,153,4748,1
compare.js,,0.8935972852813064,DynaMOSA,,true,0.17647058823529413,2,28,0.07142857142857142,2,30,0.06666666666666667,2,6,0.3333333333333333,,,,0.3880000114440918,60.003000020980835,60.39100003242493,146,4534,1
compare.js,,0.8935972852813064,DynaMOSA,,true,0.23529411764705882,3,28,0.10714285714285714,3,30,0.1,3,6,0.5,,,,0.42100000381469727,60.009000062942505,60.4300000667572,127,3952,1
compare.js,,0.8935972852813064,DynaMOSA,,true,0.3235294117647059,4,28,0.14285714285714285,4,30,0.13333333333333333,4,6,0.6666666666666666,,,,0.44499993324279785,60.01099991798401,60.45599985122681,126,3920,1
compare.js,,0.8935972852813064,DynaMOSA,,true,0.35294117647058826,4,28,0.14285714285714285,5,30,0.16666666666666666,5,6,0.8333333333333334,,,,0.4289999008178711,60.015000104904175,60.444000005722046,123,3819,1
compare.js,,0.8935972852813064,DynaMOSA,,true,0.38235294117647056,4,28,0.14285714285714285,6,30,0.2,6,6,1,,,,0.4869999885559082,60.001999855041504,60.48899984359741,121,3776,1
constructor.js,,0.8935972852813064,DynaMOSA,,true,0.6666666666666666,12,32,0.375,14,39,0.358974358974359,1,3,0.3333333333333333,,,,0.5079998970031738,60.014999866485596,60.52299976348877,97,3018,1
