SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,CONSTANT_POOL_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,INITIALIZATION_TIME,SEARCH_TIME,TOTAL_TIME,ITERATIONS,EVALUATIONS,VERSION
add-subtract.js,,0.0686266000278953,DynaMOSA,,true,0.8823529411764706,10,14,0.7142857142857143,16,25,0.64,2,3,0.6666666666666666,,,,2.502000093460083,60.032999992370605,62.53500008583069,151,4680,1
calendar.js,,0.0686266000278953,DynaMOSA,,true,0.2916666666666667,9,22,0.4090909090909091,2,17,0.11764705882352941,1,2,0.5,,,,0.3299999237060547,60.00999999046326,60.33999991416931,213,6625,1
calendar.js,,0.0686266000278953,DynaMOSA,,true,0.375,10,22,0.45454545454545453,5,17,0.29411764705882354,2,2,1,,,,1.0929999351501465,60.00100016593933,61.09400010108948,191,5950,1
compare.js,,0.0686266000278953,DynaMOSA,,true,0.08823529411764706,1,28,0.03571428571428571,1,30,0.03333333333333333,1,6,0.16666666666666666,,,,0.3989999294281006,60.00699996948242,60.40599989891052,160,4971,1
compare.js,,0.0686266000278953,DynaMOSA,,true,0.17647058823529413,2,28,0.07142857142857142,2,30,0.06666666666666667,2,6,0.3333333333333333,,,,0.3619999885559082,60.01099991798401,60.37299990653992,151,4709,1
compare.js,,0.0686266000278953,DynaMOSA,,true,0.23529411764705882,3,28,0.10714285714285714,3,30,0.1,3,6,0.5,,,,0.41100001335144043,60.00999999046326,60.4210000038147,135,4189,1
compare.js,,0.0686266000278953,DynaMOSA,,true,0.3235294117647059,4,28,0.14285714285714285,4,30,0.13333333333333333,4,6,0.6666666666666666,,,,0.41100001335144043,60.00099992752075,60.41199994087219,132,4100,1
compare.js,,0.0686266000278953,DynaMOSA,,true,0.35294117647058826,4,28,0.14285714285714285,5,30,0.16666666666666666,5,6,0.8333333333333334,,,,1.7149999141693115,60.00800013542175,61.723000049591064,134,4175,1
compare.js,,0.0686266000278953,DynaMOSA,,true,0.38235294117647056,4,28,0.14285714285714285,6,30,0.2,6,6,1,,,,0.44099998474121094,60,60.44099998474121,120,3740,1
constructor.js,,0.0686266000278953,DynaMOSA,,true,0.6666666666666666,11,32,0.34375,13,39,0.3333333333333333,1,3,0.3333333333333333,,,,0.5439999103546143,60.01800012588501,60.562000036239624,98,3054,1
constructor.js,,0.0686266000278953,DynaMOSA,,true,1.3636363636363635,12,32,0.375,15,39,0.38461538461538464,2,3,0.6666666666666666,,,,0.5019998550415039,60.01900005340576,60.520999908447266,105,3278,1
constructor.js,,0.0686266000278953,DynaMOSA,,true,1.393939393939394,12,32,0.375,16,39,0.41025641025641024,3,3,1,,,,0.4910001754760742,60.001999855041504,60.49300003051758,111,3461,1
diff.js,,0.0686266000278953,DynaMOSA,,true,0.06451612903225806,0,12,0,1,36,0.027777777777777776,1,2,0.5,,,,0.5950000286102295,60.01099991798401,60.60599994659424,99,3093,1
format.js,,0.0686266000278953,DynaMOSA,,true,0.03333333333333333,0,26,0,3,30,0.1,1,4,0.25,,,,0.5720000267028809,60.021000146865845,60.593000173568726,100,3126,1
format.js,,0.0686266000278953,DynaMOSA,,true,0.06666666666666667,0,26,0,4,30,0.13333333333333333,2,4,0.5,,,,0.562000036239624,60.004000186920166,60.56600022315979,94,2944,1
format.js,,0.0686266000278953,DynaMOSA,,true,0.13333333333333333,0,26,0,5,30,0.16666666666666666,3,4,0.75,,,,2.625,60.003000020980835,62.628000020980835,93,2903,1
format.js,,0.0686266000278953,DynaMOSA,,true,0.26666666666666666,2,26,0.07692307692307693,8,30,0.26666666666666666,4,4,1,,,,0.6159999370574951,60.01799988746643,60.633999824523926,87,2704,1
from.js,,0.0686266000278953,DynaMOSA,,true,0.5,0,2,0,1,4,0.25,1,2,0.5,,,,0.7309999465942383,60.01600003242493,60.746999979019165,75,2349,1
from.js,,0.0686266000278953,DynaMOSA,,true,0.75,0,2,0,2,4,0.5,2,2,1,,,,0.6470000743865967,60.00699996948242,60.65400004386902,84,2607,1
get-set.js,,0.0686266000278953,DynaMOSA,,true,0.09090909090909091,0,22,0,1,26,0.038461538461538464,1,6,0.16666666666666666,,,,0.6660001277923584,60.019999980926514,60.68600010871887,80,2481,1
get-set.js,,0.0686266000278953,DynaMOSA,,true,0.18181818181818182,2,22,0.09090909090909091,2,26,0.07692307692307693,2,6,0.3333333333333333,,,,0.7440001964569092,60.00999999046326,60.754000186920166,70,2172,1
get-set.js,,0.0686266000278953,DynaMOSA,,true,0.3181818181818182,5,22,0.22727272727272727,5,26,0.19230769230769232,3,6,0.5,,,,0.7790000438690186,60.015000104904175,60.79400014877319,66,2058,1
get-set.js,,0.0686266000278953,DynaMOSA,,true,0.36363636363636365,5,22,0.22727272727272727,7,26,0.2692307692307692,4,6,0.6666666666666666,,,,0.7249999046325684,60.00099992752075,60.72599983215332,73,2285,1
get-set.js,,0.0686266000278953,DynaMOSA,,true,0.5909090909090909,8,22,0.36363636363636365,15,26,0.5769230769230769,5,6,0.8333333333333334,,,,0.744999885559082,60.0220000743866,60.76699995994568,71,2202,1
locale.js,,0.0686266000278953,DynaMOSA,,true,0.1111111111111111,1,6,0.16666666666666666,3,11,0.2727272727272727,1,3,0.3333333333333333,,,,0.7699999809265137,60.01900005340576,60.789000034332275,65,2043,1
locale.js,,0.0686266000278953,DynaMOSA,,true,0.2222222222222222,1,6,0.16666666666666666,4,11,0.36363636363636365,2,3,0.6666666666666666,,,,0.7839999198913574,60,60.78399991989136,66,2076,1
min-max.js,,0.0686266000278953,DynaMOSA,,true,0.09523809523809523,2,16,0.125,7,23,0.30434782608695654,2,5,0.4,,,,0.8459999561309814,60.13499999046326,60.98099994659424,64,1988,1
min-max.js,,0.0686266000278953,DynaMOSA,,true,0.19047619047619047,2,16,0.125,9,23,0.391304347826087,3,5,0.6,,,,2.0209999084472656,60.00999999046326,62.03099989891052,64,1993,1
now.js,,0.0686266000278953,DynaMOSA,,true,1,1,2,0.5,2,2,1,1,1,1,,,,0.8789999485015869,0,0.8789999485015869,0,30,1
start-end-of.js,,0.0686266000278953,DynaMOSA,,true,0.031746031746031744,1,20,0.05,7,69,0.10144927536231885,1,5,0.2,,,,0.9290001392364502,60.026999950408936,60.956000089645386,57,1782,1
start-end-of.js,,0.0686266000278953,DynaMOSA,,true,0.06349206349206349,2,20,0.1,10,69,0.14492753623188406,2,5,0.4,,,,0.8589999675750732,60.0239999294281,60.882999897003174,56,1765,1
to-type.js,,0.0686266000278953,DynaMOSA,,true,0.125,0,2,0,1,8,0.125,1,6,0.16666666666666666,,,,1.001999855041504,60.00100016593933,61.003000020980835,54,1701,1
to-type.js,,0.0686266000278953,DynaMOSA,,true,0.25,0,2,0,2,8,0.25,2,6,0.3333333333333333,,,,0.8579998016357422,60.00200009346008,60.859999895095825,54,1677,1
to-type.js,,0.0686266000278953,DynaMOSA,,true,0.375,0,2,0,3,8,0.375,3,6,0.5,,,,0.875999927520752,60.02500009536743,60.901000022888184,54,1680,1
to-type.js,,0.0686266000278953,DynaMOSA,,true,0.5,0,2,0,5,8,0.625,4,6,0.6666666666666666,,,,0.875,60.01200008392334,60.88700008392334,53,1655,1
to-type.js,,0.0686266000278953,DynaMOSA,,true,0.625,0,2,0,7,8,0.875,5,6,0.8333333333333334,,,,0.9049999713897705,60.104000091552734,61.009000062942505,56,1745,1
